Updated.Search.Term,Original,UniqueID,Type,Gender,Nationality
"""A.P.C""","""A.P.C""",Associated_companies-001,Associated_companies,ORGANISATION,FRANCE
"""Shanghai Tang""","""Shanghai Tang""",Associated_companies-002,Associated_companies,ORGANISATION,CHINA
"""Acne Studios""",Acne Studios,Associated_companies-003,Associated_companies,ORGANISATION,SWEDEN
Adidas,Adidas,Associated_companies-004,Associated_companies,ORGANISATION,GERMANY
Agnona,Agnona,Associated_companies-005,Associated_companies,ORGANISATION,ITALY
Ala•a OR Alaia,Ala•a,Associated_companies-006,Associated_companies,ORGANISATION,FRANCE
"""Alexander McQueen""",Alexander McQueen,Associated_companies-007,Associated_companies,ORGANISATION,UK
"""Altuzarra""",Altuzarra,Associated_companies-008,Associated_companies,ORGANISATION,USA
"""Anrealage""",Anrealage,Associated_companies-009,Associated_companies,ORGANISATION,JAPAN
"""Balenciaga""",Balenciaga,Associated_companies-010,Associated_companies,ORGANISATION,FRANCE
"""Balmain""",Balmain,Associated_companies-011,Associated_companies,ORGANISATION,FRANCE
"""Band of Outsiders""",Band of Outsiders,Associated_companies-012,Associated_companies,ORGANISATION,USA
"""Belstaff""",Belstaff,Associated_companies-013,Associated_companies,ORGANISATION,UK
"""Benetton""",Benetton,Associated_companies-014,Associated_companies,ORGANISATION,ITALY
"""Berluti""",Berluti,Associated_companies-015,Associated_companies,ORGANISATION,FRANCE
"""Bottega Veneta""",Bottega Veneta,Associated_companies-016,Associated_companies,ORGANISATION,ITALY
"""Brioni""",Brioni,Associated_companies-017,Associated_companies,ORGANISATION,ITALY
"""Brooks Brothers""",Brooks Brothers,Associated_companies-018,Associated_companies,ORGANISATION,USA
"""burberry""",burberry,Associated_companies-019,Associated_companies,ORGANISATION,UK
"""Calvin Klein""",Calvin Klein,Associated_companies-020,Associated_companies,ORGANISATION,USA
"""Carven""",Carven,Associated_companies-021,Associated_companies,ORGANISATION,FRANCE
CŽline OR Celine,CŽline,Associated_companies-022,Associated_companies,ORGANISATION,FRANCE
"""Chalayan & Vionnet""",Vionnet,Associated_companies-023,Associated_companies,ORGANISATION,FRANCE
"""Chanel""",Chanel,Associated_companies-024,Associated_companies,ORGANISATION,FRANCE
"""Charlotte Olympia""","""Charlotte Olympia""",Associated_companies-025,Associated_companies,ORGANISATION,UK
"""Chloe_""",Chloe_,Associated_companies-026,Associated_companies,ORGANISATION,FRANCE
"""Comme des Garc_ons"" OR ""Comme des Garcons""",Comme des Garc_ons,Associated_companies-027,Associated_companies,ORGANISATION,FRANCE
"""CondŽ Nast"" OR ""Conde Nast""",CondŽ Nast,Associated_companies-028,Associated_companies,ORGANISATION,USA
"""converse""",converse,Associated_companies-029,Associated_companies,ORGANISATION,USA
"""Creatures of the Wind""",Creatures of the Wind,Associated_companies-030,Associated_companies,ORGANISATION,USA
"""diesel""",diesel,Associated_companies-031,Associated_companies,ORGANISATION,ITALY
"""Dior""",Dior,Associated_companies-032,Associated_companies,ORGANISATION,FRANCE
"""dkny""",dkny,Associated_companies-033,Associated_companies,ORGANISATION,USA
"""Dolce & Gabbana""",Dolce & Gabbana,Associated_companies-034,Associated_companies,ORGANISATION,ITALY
"""dunhill""",dunhill,Associated_companies-035,Associated_companies,ORGANISATION,UK
"""Fabindia""",Fabindia,Associated_companies-036,Associated_companies,ORGANISATION,INDIA
"""Fendi""",Fendi,Associated_companies-037,Associated_companies,ORGANISATION,ITALY
"""Ferragamo""",Ferragamo,Associated_companies-038,Associated_companies,ORGANISATION,ITALY
"""Givenchy""",Givenchy,Associated_companies-039,Associated_companies,ORGANISATION,FRANCE
"""Gucci""",Gucci,Associated_companies-040,Associated_companies,ORGANISATION,ITALY
(Hennes AND Mauritz) OR H\&M,H&M,Associated_companies-041,Associated_companies,ORGANISATION,SWEDEN
"""Herme_s"" OR ""Hermes""",Herme_s,Associated_companies-042,Associated_companies,ORGANISATION,FRANCE
"""Hood by Air""",Hood by Air,Associated_companies-043,Associated_companies,ORGANISATION,USA
"""hugo boss""",hugo boss,Associated_companies-044,Associated_companies,ORGANISATION,GERMANY
"""Imaginex""",Imaginex,Associated_companies-045,Associated_companies,ORGANISATION,CHINA
"""Inditex""",Inditex,Associated_companies-046,Associated_companies,ORGANISATION,SPAIN
"""J.Crew"" OR Jcrew",J.Crew,Associated_companies-047,Associated_companies,ORGANISATION,USA
"""J.W.Anderson""",J.W.Anderson,Associated_companies-048,Associated_companies,ORGANISATION,UK
"""Jimmy Choo""",Jimmy Choo,Associated_companies-049,Associated_companies,ORGANISATION,UK
"""Kate Spade""",Kate Spade,Associated_companies-050,Associated_companies,ORGANISATION,USA
"""kenzo""",kenzo,Associated_companies-051,Associated_companies,ORGANISATION,ITALY
"""lacoste""",lacoste,Associated_companies-052,Associated_companies,ORGANISATION,FRANCE
"""Lalesso""",Lalesso,Associated_companies-053,Associated_companies,ORGANISATION,SOUTH AFRICA
"""Lanvin""",Lanvin,Associated_companies-054,Associated_companies,ORGANISATION,FRANCE
"""Lanvin""",Lanvin,Associated_companies-055,Associated_companies,ORGANISATION,FRANCE
"""Louis Vuitton""",Louis Vuitton,Associated_companies-056,Associated_companies,ORGANISATION,FRANCE
"""lvmh""",lvmh,Associated_companies-057,Associated_companies,ORGANISATION,FRANCE
"""Marc Jacobs""",Marc Jacobs,Associated_companies-058,Associated_companies,ORGANISATION,USA
"""Margiela""",Margiela,Associated_companies-059,Associated_companies,ORGANISATION,BELGIUM
"""marni""",marni,Associated_companies-060,Associated_companies,ORGANISATION,ITALY
"""Michael Kors""",Michael Kors,Associated_companies-061,Associated_companies,ORGANISATION,USA
"""Missoni""",Missoni,Associated_companies-062,Associated_companies,ORGANISATION,ITALY
"""Miu Miu""",Miu Miu,Associated_companies-063,Associated_companies,ORGANISATION,ITALY
"""Moncler""",Moncler,Associated_companies-064,Associated_companies,ORGANISATION,ITALY
"""mulberry""",mulberry,Associated_companies-065,Associated_companies,ORGANISATION,UK
"""Net-a-Porter"" OR netaporter",Net-a-Porter,Associated_companies-066,Associated_companies,ORGANISATION,UK
"""Nike""",Nike,Associated_companies-067,Associated_companies,ORGANISATION,USA
"""Nina Ricci""",Nina Ricci,Associated_companies-068,Associated_companies,ORGANISATION,FRANCE
"""Oscar de la Renta""",Oscar de la Renta,Associated_companies-069,Associated_companies,ORGANISATION,USA
"""Osklen""",Osklen,Associated_companies-070,Associated_companies,ORGANISATION,BRAZIL
"""Pierre Cardin""",Pierre Cardin,Associated_companies-071,Associated_companies,ORGANISATION,FRANCE
"""Prada""",Prada,Associated_companies-072,Associated_companies,ORGANISATION,ITALY
"""Proenza Schouler""",Proenza Schouler,Associated_companies-073,Associated_companies,ORGANISATION,USA
"""Raf Simons""",Raf Simons,Associated_companies-074,Associated_companies,ORGANISATION,BELGIUM
"""Rei Kawakubo""",Rei Kawakubo,Associated_companies-075,Associated_companies,ORGANISATION,JAPAN
"""rodarte""",rodarte,Associated_companies-076,Associated_companies,ORGANISATION,USA
"""Sacai""",Sacai,Associated_companies-077,Associated_companies,ORGANISATION,JAPAN
"""Saint Laurent""",Saint Laurent,Associated_companies-078,Associated_companies,ORGANISATION,FRANCE
Sass AND Bide,Sass AND Bide,Associated_companies-079,Associated_companies,ORGANISATION,AUSTRALIA
"""SHOWstudio""",SHOWstudio,Associated_companies-080,Associated_companies,ORGANISATION,UK
"""Swarovski""",Swarovski,Associated_companies-081,Associated_companies,ORGANISATION,AUSTRIA
"""Tod's""",Tod's,Associated_companies-082,Associated_companies,ORGANISATION,ITALY
"""topshop""",topshop,Associated_companies-083,Associated_companies,ORGANISATION,UK
"""Uniqlo""",Uniqlo,Associated_companies-084,Associated_companies,ORGANISATION,JAPAN
"""valentino""",valentino,Associated_companies-085,Associated_companies,ORGANISATION,ITALY
"""Versace""",Versace,Associated_companies-086,Associated_companies,ORGANISATION,ITALY
"""VictoriaŐs Secret""",VictoriaŐs Secret,Associated_companies-087,Associated_companies,ORGANISATION,USA
"""Vivienne Westwood""",Vivienne Westwood,Associated_companies-088,Associated_companies,ORGANISATION,UK
"""wooyoungmi""",wooyoungmi,Associated_companies-089,Associated_companies,ORGANISATION,KOREA
"ysl OR ""Yves Saint Laurent","ysl OR ""Yves Saint Laurent""",Associated_companies-090,Associated_companies,ORGANISATION,FRANCE
"""Zegna""",Zegna ,Associated_companies-091,Associated_companies,ORGANISATION,ITALY
akris,akris,Associated_companies-092,Associated_companies,ORGANISATION,SWITZERLAND
DSQUARED2,DSQUARED2,Associated_companies-093,Associated_companies,ORGANISATION,ITALY
AQUAZZURA,AQUAZZURA,Associated_companies-094,Associated_companies,ORGANISATION,ITALY
"""MANSUR GAVRIEL""","""MANSUR GAVRIEL""",Associated_companies-095,Associated_companies,ORGANISATION,USA
Moschino,Moschino,Associated_companies-096,Associated_companies,ORGANISATION,ITALY
DELPOZO,DELPOZO,Associated_companies-097,Associated_companies,ORGANISATION,SPAIN
SONIA RYKIEL,SONIA RYKIEL,Associated_companies-098,Associated_companies,ORGANISATION,FRANCE
"""HILLIER BARTLEY""","""HILLIER BARTLEY""",Associated_companies-099,Associated_companies,ORGANISATION,UK
"""MARQUES ALMEIDA""",MARQUES'ALMEIDA,Associated_companies-100,Associated_companies,ORGANISATION,UK
E.TAUTZ,E.TAUTZ,Associated_companies-101,Associated_companies,ORGANISATION,UK
Jacquemus,Jacquemus,Associated_companies-102,Associated_companies,ORGANISATION,FRANCE
"""AMBUSH DESIGN""","""AMBUSH DESIGN""",Associated_companies-103,Associated_companies,ORGANISATION,JAPAN
"""Akiko Shinoda""",,Catalysts-001,Catalysts,FEMALE,JAPAN
"""Alice Ferraz""",,Catalysts-002,Catalysts,FEMALE,BRAZIL
"""Amanda Parkes""",,Catalysts-003,Catalysts,FEMALE,USA
"""Brian Phillips""",,Catalysts-004,Catalysts,MALE,USA
"""Camilla Lowther""",,Catalysts-005,Catalysts,FEMALE,UK
"""Carmen Busquets""",,Catalysts-006,Catalysts,FEMALE,VENEZUELA
"""Caroline Rush""",,Catalysts-007,Catalysts,FEMALE,UK
"""Costanza Pascolato""",,Catalysts-008,Catalysts,FEMALE,BRAZIL
"""Daria Shapovalova""",,Catalysts-009,Catalysts,FEMALE,UKRAINE
"""Didier Grumbach""",,Catalysts-010,Catalysts,MALE,FRANCE
"""Ed Filipowski""",,Catalysts-011,Catalysts,MALE,USA
"""Edwina McCann""",,Catalysts-012,Catalysts,FEMALE,AUSTRALIA
"""Erik Torstensson""",,Catalysts-013,Catalysts,MALE,SWEDEN
"""Faith Kates""",,Catalysts-014,Catalysts,FEMALE,USA
"""Fern Mallis""",,Catalysts-015,Catalysts,FEMALE,USA
"""Floriane de Saint Pierre""",,Catalysts-016,Catalysts,FEMALE,FRANCE
"""Giovanni Testino""",,Catalysts-017,Catalysts,MALE,PERU
"""Helena Helmersson""",,Catalysts-018,Catalysts,FEMALE,SWEDEN
"""Ivan Bart""",,Catalysts-019,Catalysts,MALE,USA
"""Jane Reeve""",,Catalysts-020,Catalysts,FEMALE,UK
"""Jean-Jacques Picart""",,Catalysts-021,Catalysts,MALE,FRANCE
"""Jed Root""",,Catalysts-022,Catalysts,MALE,USA
"""JennŽ Lombardo""",,Catalysts-023,Catalysts,FEMALE,USA
"""Jens Grede""",,Catalysts-024,Catalysts,MALE,SWEDEN
"""Jimmy Moffat""",,Catalysts-025,Catalysts,MALE,USA
"""Joel Wilkenfeld""",,Catalysts-026,Catalysts,MALE,USA
"""Julie Gilhart""",,Catalysts-027,Catalysts,FEMALE,USA
"""Kalyani Chawla""",,Catalysts-028,Catalysts,FEMALE,INDIA
"""Karla Otto""",,Catalysts-029,Catalysts,FEMALE,GERMANY
"""Keith Baptista""",,Catalysts-030,Catalysts,MALE,USA
"""Linda Loppa""",,Catalysts-031,Catalysts,FEMALE,BELGIUM
"""Louise Wilson""",,Catalysts-032,Catalysts,FEMALE,UK
"""Lulu Kennedy""",,Catalysts-033,Catalysts,FEMALE,UK
"""Marie-Claire Daveu""",,Catalysts-034,Catalysts,FEMALE,FRANCE
"""Mazdack Rassi""",,Catalysts-035,Catalysts,MALE,USA
"""Melvin Chua""",,Catalysts-036,Catalysts,MALE,CHINA
"""Mesh Chhibber""",,Catalysts-037,Catalysts,MALE,FRANCE
"""MichŹle Lamy""",,Catalysts-038,Catalysts,FEMALE,FRANCE
"""MichŹle Montagne""",,Catalysts-039,Catalysts,FEMALE,FRANCE
"""Monica Mendes""",,Catalysts-040,Catalysts,FEMALE,BRAZIL
"""Olivier Bourgis""",,Catalysts-041,Catalysts,MALE,FRANCE
"""Omoyemi Akerele""",,Catalysts-042,Catalysts,FEMALE,NIGERIA
"""Pauline Su""",,Catalysts-043,Catalysts,FEMALE,CHINA
"""Paulo Borges""",,Catalysts-044,Catalysts,MALE,BRAZIL
"""Pierre Rougier""",,Catalysts-045,Catalysts,MALE,USA
"""Ralph Toledano""",,Catalysts-046,Catalysts,MALE,FRANCE
"""Robert Ferrell""",,Catalysts-047,Catalysts,MALE,FRANCE
"""Sarah Doukas""",,Catalysts-048,Catalysts,FEMALE,UK
"""Sheikha Moza bint Nasser""",,Catalysts-049,Catalysts,FEMALE,QATAR
"""Shelley Fox""",,Catalysts-050,Catalysts,FEMALE,UK
"""Simon Collins""",,Catalysts-051,Catalysts,MALE,USA
"""Simon Lock""",,Catalysts-052,Catalysts,MALE,AUSTRALIA
"""Simone Cipriani""",,Catalysts-053,Catalysts,MALE,ITALY
"""Steven Kolb""",,Catalysts-054,Catalysts,MALE,USA
"""Sunil Sethi""",,Catalysts-055,Catalysts,MALE,INDIA
"""Susan Sabet""",,Catalysts-056,Catalysts,FEMALE,EGYPT
"""Svida Alisjahbana""",,Catalysts-057,Catalysts,FEMALE,INDONESIA
"""Tom Kartsotis""",,Catalysts-058,Catalysts,MALE,USA
"""Valerie Steele""",,Catalysts-059,Catalysts,FEMALE,USA
"""Walter Van Beirendonck""",,Catalysts-060,Catalysts,MALE,BELGIUM
"""Carlo Capasa""",,Catalysts-061,Catalysts,MALE,ITALY
"""Amina Al Rustamani""",,Catalysts-062,Catalysts,FEMALE,UNITED ARAB EMIRATES
"""Fabio Piras""",,Catalysts-063,Catalysts,MALE,ITALY
"""Frances Corner""",,Catalysts-064,Catalysts,FEMALE,UK
"""Jennifer Powell""",,Catalysts-065,Catalysts,FEMALE,USA
"""Mizuyo Yoshida""",,Catalysts-066,Catalysts,FEMALE,JAPAN
"""Zowie Broach""",,Catalysts-067,Catalysts,FEMALE,UK
"""Japan Fashion Week""",,Catalysts-II-001,Catalysts-II,ORGANISATION,JAPAN
"""CAMERA NAZIONALE DELLA MODA""",,Catalysts-II-002,Catalysts-II,ORGANISATION,ITALY
"""Ferraz Moda""",,Catalysts-II-003,Catalysts-II,ORGANISATION,BRAZIL
"""British Fashion Council""",,Catalysts-II-004,Catalysts-II,ORGANISATION,UK
"""London Fashion Week""",,Catalysts-II-005,Catalysts-II,ORGANISATION,UK
"""Kiev Fashion Days""",,Catalysts-II-006,Catalysts-II,ORGANISATION,UKRAINE
"""FŽdŽration FranŤaise de la Couture""",,Catalysts-II-007,Catalysts-II,ORGANISATION,FRANCE
"""Australian Fashion Chamber""",,Catalysts-II-008,Catalysts-II,ORGANISATION,AUSTRALIA
"""Next Models""",,Catalysts-II-009,Catalysts-II,ORGANISATION,USA
"""Art Partner""",,Catalysts-II-010,Catalysts-II,ORGANISATION,USA
"""IMG Models""",,Catalysts-II-011,Catalysts-II,ORGANISATION,USA
"""Camera della Moda""",,Catalysts-II-012,Catalysts-II,ORGANISATION,ITALY
"""New York Fashion Week""",,Catalysts-II-013,Catalysts-II,ORGANISATION,USA
"""Polimoda""",,Catalysts-II-014,Catalysts-II,ORGANISATION,ITALY
"""Fashion East""",,Catalysts-II-015,Catalysts-II,ORGANISATION,UK
"""Stylehouse Files""",,Catalysts-II-016,Catalysts-II,ORGANISATION,NIGERIA
"""China Fashion Week""",,Catalysts-II-017,Catalysts-II,ORGANISATION,CHINA
"""S‹o Paulo Fashion Week""",,Catalysts-II-018,Catalysts-II,ORGANISATION,BRAZIL
"""Marilyn Agency""",,Catalysts-II-019,Catalysts-II,ORGANISATION,USA
"""Storm Models""",,Catalysts-II-020,Catalysts-II,ORGANISATION,USA
Parsons AND Design AND School,,Catalysts-II-021,Catalysts-II,ORGANISATION,USA
"""Council of Fashion Designers of America"" OR ""cfda""",,Catalysts-II-022,Catalysts-II,ORGANISATION,USA
"""Fashion Design Council of India""",,Catalysts-II-023,Catalysts-II,ORGANISATION,INDIA
"""Femina Group""",,Catalysts-II-024,Catalysts-II,ORGANISATION,INDONESIA
"""Fashion Insititute of Technology""",,Catalysts-II-025,Catalysts-II,ORGANISATION,USA
"""Aaron de Mey""",,Creatives-001,Creatives,MALE,AUSTRALIA
"""Alasdair McLellan""",,Creatives-002,Creatives,MALE,UK
"""Alex Box""",,Creatives-003,Creatives,FEMALE,UK
"""Alexandre de Betak""",,Creatives-004,Creatives,MALE,FRANCE
"""Bureau Betak""",,Creatives-005,Creatives,ORGANISATION,FRANCE
"""Alister Mackie""",,Creatives-006,Creatives,MALE,UK
"""Anaita Shroff Adajania""",,Creatives-007,Creatives,FEMALE,INDIA
"""Andrew Bolton""",,Creatives-008,Creatives,MALE,UK
"""Anita Bitton""",,Creatives-009,Creatives,FEMALE,UK
"""Anna Trevelyan""",,Creatives-010,Creatives,FEMALE,UK
"""Anthony Turner""",,Creatives-011,Creatives,MALE,UK
"""Anya Ziourova""",,Creatives-012,Creatives,FEMALE,RUSSIA
"""Ashley Brokaw""",,Creatives-013,Creatives,FEMALE,USA
"""Barbara Nicoli""",,Creatives-014,Creatives,FEMALE,ITALY
"""Leila Ananna""",,Creatives-015,Creatives,FEMALE,ITALY
"""Benjamin Bruno""",,Creatives-016,Creatives,MALE,FRANCE
"""Bharat Sikka""",,Creatives-017,Creatives,MALE,INDIA
"""Bill Cunningham""",,Creatives-018,Creatives,MALE,USA
"""Boo George""",,Creatives-019,Creatives,MALE,IRELAND
"""Bruce Weber""",,Creatives-020,Creatives,MALE,USA
"""Camilla Nickerson""",,Creatives-021,Creatives,FEMALE,UK
"""Charlotte Tilbury""",,Creatives-022,Creatives,FEMALE,UK
"""Chen Man""",,Creatives-023,Creatives,FEMALE,CHINA
"""Craig McDean""",,Creatives-024,Creatives,MALE,UK
"""David James""",,Creatives-025,Creatives,MALE,UK
"""David Sims""",,Creatives-026,Creatives,MALE,UK
"""Doug Lloyd""",,Creatives-027,Creatives,MALE,USA
"""Edward Enninful""",,Creatives-028,Creatives,MALE,GHANA
"""Ellen von Unwerth""",,Creatives-029,Creatives,FEMALE,GERMANY
"""Etienne Russo""",,Creatives-030,Creatives,MALE,FRANCE
"""Eugene Souleiman""",,Creatives-031,Creatives,MALE,UK
"""Eugene Tong""",,Creatives-032,Creatives,MALE,USA
"""Ezra Petronio""",,Creatives-033,Creatives,MALE,FRANCE
"""Suzanne Koller""",,Creatives-034,Creatives,FEMALE,FRANCE
"""Fabien Baron""",,Creatives-035,Creatives,MALE,FRANCE
"""Francois Nars""",,Creatives-036,Creatives,MALE,FRANCE
"""FrŽdŽric Sanchez""",,Creatives-037,Creatives,MALE,FRANCE
"""Giampaolo Sgura""",,Creatives-038,Creatives,MALE,ITALY
"""GB65""",,Creatives-039,Creatives,MALE,ITALY
"""Giovanni Bianco""",,Creatives-040,Creatives,MALE,ITALY
"""George Yabu""",,Creatives-041,Creatives,MALE,CANADA
"""Glenn Pushelberg""",,Creatives-042,Creatives,MALE,CANADA
"""Grace Coddington""",,Creatives-043,Creatives,FEMALE,UK
"""Gucci Westman""",,Creatives-044,Creatives,FEMALE,USA
"""Guido Palau""",,Creatives-045,Creatives,MALE,UK
"""Gwena‘l Nicolas""",,Creatives-046,Creatives,MALE,FRANCE
"""Inez van Lamsweerde""",,Creatives-047,Creatives,FEMALE,NETHERLANDS
"""Vinoodh Matadin""",,Creatives-048,Creatives,MALE,NETHERLANDS
"""James Scully""",,Creatives-049,Creatives,MALE,UK/USA
"""Joe McKenna""",,Creatives-050,Creatives,MALE,UK
"""John Pfeiffer""",,Creatives-051,Creatives,MALE,USA
"""Joseph Dirand""",,Creatives-052,Creatives,MALE,FRANCE
"""Josh Olins""",,Creatives-053,Creatives,MALE,UK
"""Juergen Teller""",,Creatives-054,Creatives,MALE,GERMANY
"""Kannon Rajah""",,Creatives-055,Creatives,MALE,AUSTRALIA
"""Karim Sadli""",,Creatives-056,Creatives,MALE,FRANCE
"""Karl Templer""",,Creatives-057,Creatives,MALE,UK
"""Kate Lanphear""",,Creatives-058,Creatives,FEMALE,USA
"""Kate Phelan""",,Creatives-059,Creatives,FEMALE,UK
"""Lisa Eldridge""",,Creatives-060,Creatives,FEMALE,AUSTRALIA
"""Luca Stoppini""",,Creatives-061,Creatives,MALE,ITALY
"""Lucia Liu""",,Creatives-062,Creatives,FEMALE,CHINA
"""Lucia Pieroni""",,Creatives-063,Creatives,FEMALE,UK
"""Malcolm Edwards""",,Creatives-064,Creatives,MALE,UK/USA
"""Manuela Pavesi""",,Creatives-065,Creatives,FEMALE,ITALY
"""Mariano Vivanco""",,Creatives-066,Creatives,MALE,PERU
"""Marie Chaix""",,Creatives-067,Creatives,FEMALE,FRANCE
"""Marie-AmŽlie SauvŽ""",,Creatives-068,Creatives,FEMALE,FRANCE
"""Mario Sorrenti""",,Creatives-069,Creatives,MALE,ITALY
"""Mario Testino""",,Creatives-070,Creatives,MALE,PERU
"""Masamichi Katayama""",,Creatives-071,Creatives,MALE,JAPAN
"""Mathias Augustyniak""",,Creatives-072,Creatives,MALE,FRANCE
"""Michael Amzalag""",,Creatives-073,Creatives,MALE,FRANCE
"""Maurizio Cattelan""",,Creatives-074,Creatives,MALE,ITALY
"""Pierpaolo Ferrari""",,Creatives-075,Creatives,MALE,ITALY
"""Mert Alas""",,Creatives-076,Creatives,MALE,TURKEY
"""Marcus Piggott""",,Creatives-077,Creatives,MALE,UK
"""Michel Gaubert""",,Creatives-078,Creatives,MALE,FRANCE
"""Nick Knight""",,Creatives-079,Creatives,MALE,UK
"""Odile Gilbert""",,Creatives-080,Creatives,FEMALE,FRANCE
"""Olivier Rizzo""",,Creatives-081,Creatives,MALE,BELGIUM
"""Olivier Saillard""",,Creatives-082,Creatives,MALE,FRANCE
"""Pamela Golbin""",,Creatives-083,Creatives,FEMALE,FRANCE
"""Panos Yiapanis""",,Creatives-084,Creatives,MALE,GREECE
"""Paolo Roversi""",,Creatives-085,Creatives,MALE,ITALY
"""Pascal Dangin""",,Creatives-086,Creatives,MALE,FRANCE
"""Pat McGrath""",,Creatives-087,Creatives,FEMALE,UK
"""Patrick Demarchelier""",,Creatives-088,Creatives,MALE,FRANCE
"""Patrick Li""",,Creatives-089,Creatives,MALE,USA
"""Peter Lindbergh""",,Creatives-090,Creatives,MALE,GERMANY
"""Peter Marino""",,Creatives-091,Creatives,MALE,USA
"""Peter Miles""",,Creatives-092,Creatives,MALE,USA
"""Peter Philips""",,Creatives-093,Creatives,MALE,GERMANY
